f'cc28MPa = 46.01 MPa, ecc28MPa = 0.0084
f'cc35MPa = 53.73 MPa, ecc35MPa = 0.0074
f'cc42MPa = 61.26 MPa, ecc42MPa = 0.0066
f'cc70MPa = 90.47 MPa, ecc70MPa = 0.0049
Axial_Strain Axial_Load(kN)
4.187500e-03 1.438003e+04
4.200000e-03 1.439801e+04
4.212500e-03 1.441591e+04
4.225000e-03 1.443374e+04
4.237500e-03 1.445150e+04
4.250000e-03 1.446918e+04
4.262500e-03 1.448678e+04
4.275000e-03 1.450431e+04
4.287500e-03 1.452176e+04
4.300000e-03 1.453914e+04
4.312500e-03 1.455645e+04
4.325000e-03 1.457368e+04
4.337500e-03 1.459083e+04
4.350000e-03 1.460791e+04
4.362500e-03 1.462492e+04
4.375000e-03 1.464186e+04
4.387500e-03 1.465872e+04
4.400000e-03 1.467550e+04
4.412500e-03 1.469222e+04
4.425000e-03 1.470886e+04
4.437500e-03 1.472542e+04
4.450000e-03 1.474192e+04
4.462500e-03 1.475834e+04
4.475000e-03 1.477469e+04
4.487500e-03 1.479096e+04
4.500000e-03 1.480717e+04
4.512500e-03 1.482330e+04
4.525000e-03 1.483935e+04
4.537500e-03 1.485534e+04
4.550000e-03 1.487125e+04
4.562500e-03 1.488709e+04
4.575000e-03 1.490286e+04
4.587500e-03 1.491855e+04
4.600000e-03 1.493418e+04
4.612500e-03 1.494973e+04
4.625000e-03 1.496521e+04
4.637500e-03 1.498062e+04
4.650000e-03 1.499595e+04
4.662500e-03 1.501122e+04
4.675000e-03 1.502641e+04
4.687500e-03 1.504153e+04
4.700000e-03 1.505658e+04
4.712500e-03 1.507156e+04
4.725000e-03 1.508647e+04
4.737500e-03 1.510130e+04
4.750000e-03 1.511606e+04
4.762500e-03 1.513076e+04
4.775000e-03 1.514538e+04
4.787500e-03 1.515993e+04
4.800000e-03 1.517441e+04
4.812500e-03 1.518881e+04
4.825000e-03 1.520315e+04
4.837500e-03 1.521741e+04
4.850000e-03 1.523161e+04
4.862500e-03 1.524573e+04
4.875000e-03 1.525978e+04
4.887500e-03 1.527376e+04
4.900000e-03 1.528767e+04
4.912500e-03 1.530151e+04
4.925000e-03 1.531528e+04
4.937500e-03 1.532898e+04
4.950000e-03 1.534260e+04
4.962500e-03 1.535616e+04
4.975000e-03 1.536964e+04
4.987500e-03 1.538306e+04
5.000000e-03 1.539640e+04
5.012500e-03 1.540967e+04
5.025000e-03 1.542287e+04
5.037500e-03 1.543601e+04
5.050000e-03 1.544907e+04
5.062500e-03 1.546206e+04
5.075000e-03 1.547497e+04
5.087500e-03 1.548782e+04
5.100000e-03 1.550060e+04
5.112500e-03 1.551331e+04
5.125000e-03 1.552595e+04
5.137500e-03 1.553851e+04
5.150000e-03 1.555101e+04
5.162500e-03 1.556343e+04
5.175000e-03 1.557579e+04
5.187500e-03 1.558807e+04
5.200000e-03 1.560029e+04
5.212500e-03 1.561243e+04
5.225000e-03 1.562450e+04
5.237500e-03 1.563650e+04
5.250000e-03 1.564844e+04
5.262500e-03 1.566030e+04
5.275000e-03 1.567209e+04
5.287500e-03 1.568381e+04
5.300000e-03 1.569546e+04
5.312500e-03 1.570704e+04
5.325000e-03 1.571855e+04
5.337500e-03 1.572999e+04
5.350000e-03 1.574136e+04
5.362500e-03 1.575266e+04
5.375000e-03 1.576389e+04
5.387500e-03 1.577505e+04
5.400000e-03 1.578614e+04
5.412500e-03 1.579715e+04
5.425000e-03 1.580810e+04
5.437500e-03 1.581898e+04
5.450000e-03 1.582979e+04
5.462500e-03 1.584052e+04
5.475000e-03 1.585119e+04
5.487500e-03 1.586179e+04
5.500000e-03 1.587231e+04
5.512500e-03 1.588277e+04
5.525000e-03 1.589315e+04
5.537500e-03 1.590347e+04
5.550000e-03 1.591371e+04
5.562500e-03 1.592389e+04
5.575000e-03 1.593400e+04
5.587500e-03 1.594403e+04
5.600000e-03 1.595400e+04
5.612500e-03 1.596389e+04
5.625000e-03 1.597371e+04
5.637500e-03 1.598347e+04
5.650000e-03 1.599315e+04
5.662500e-03 1.600277e+04
5.675000e-03 1.601231e+04
5.687500e-03 1.602178e+04
5.700000e-03 1.603119e+04
5.712500e-03 1.604052e+04
5.725000e-03 1.604978e+04
5.737500e-03 1.605898e+04
5.750000e-03 1.606810e+04
5.762500e-03 1.607715e+04
5.775000e-03 1.608614e+04
5.787500e-03 1.609505e+04
5.800000e-03 1.610389e+04
5.812500e-03 1.611266e+04
5.825000e-03 1.612137e+04
5.837500e-03 1.613000e+04
5.850000e-03 1.613856e+04
5.862500e-03 1.614705e+04
5.875000e-03 1.615548e+04
5.887500e-03 1.616383e+04
5.900000e-03 1.617211e+04
5.912500e-03 1.618032e+04
5.925000e-03 1.618846e+04
5.937500e-03 1.619654e+04
5.950000e-03 1.620454e+04
5.962500e-03 1.621247e+04
5.975000e-03 1.622033e+04
5.987500e-03 1.622812e+04
6.000000e-03 1.623584e+04
6.012500e-03 1.624350e+04
6.025000e-03 1.625108e+04
6.037500e-03 1.625859e+04
6.050000e-03 1.626603e+04
6.062500e-03 1.627340e+04
6.075000e-03 1.628070e+04
6.087500e-03 1.628793e+04
6.100000e-03 1.629510e+04
6.112500e-03 1.630219e+04
6.125000e-03 1.630921e+04
6.137500e-03 1.631616e+04
6.150000e-03 1.632304e+04
6.162500e-03 1.632985e+04
6.175000e-03 1.633659e+04
6.187500e-03 1.634326e+04
6.200000e-03 1.634986e+04
6.212500e-03 1.635639e+04
6.225000e-03 1.636285e+04
6.237500e-03 1.636925e+04
6.250000e-03 1.637557e+04
6.262500e-03 1.638182e+04
6.275000e-03 1.638800e+04
6.287500e-03 1.639411e+04
6.300000e-03 1.640015e+04
6.312500e-03 1.640612e+04
6.325000e-03 1.641202e+04
6.337500e-03 1.641785e+04
6.350000e-03 1.642361e+04
6.362500e-03 1.642930e+04
6.375000e-03 1.643492e+04
6.387500e-03 1.644047e+04
6.400000e-03 1.644595e+04
6.412500e-03 1.645137e+04
6.425000e-03 1.645671e+04
6.437500e-03 1.646198e+04
6.450000e-03 1.646718e+04
6.462500e-03 1.647231e+04
6.475000e-03 1.647737e+04
6.487500e-03 1.648236e+04
6.500000e-03 1.648728e+04
6.512500e-03 1.649213e+04
6.525000e-03 1.649691e+04
6.537500e-03 1.650162e+04
6.550000e-03 1.650626e+04
6.562500e-03 1.651083e+04
6.575000e-03 1.651533e+04
6.587500e-03 1.651976e+04
6.600000e-03 1.652412e+04
6.612500e-03 1.652841e+04
6.625000e-03 1.653264e+04
6.637500e-03 1.653679e+04
6.650000e-03 1.654087e+04
6.662500e-03 1.654488e+04
6.675000e-03 1.654882e+04
6.687500e-03 1.655269e+04
6.700000e-03 1.655649e+04
6.712500e-03 1.656022e+04
6.725000e-03 1.656388e+04
6.737500e-03 1.656747e+04
6.750000e-03 1.657099e+04
6.762500e-03 1.657444e+04
6.775000e-03 1.657782e+04
6.787500e-03 1.658113e+04
6.800000e-03 1.658437e+04
6.812500e-03 1.658755e+04
6.825000e-03 1.659065e+04
6.837500e-03 1.659368e+04
6.850000e-03 1.659664e+04
6.862500e-03 1.659953e+04
6.875000e-03 1.660235e+04
6.887500e-03 1.660510e+04
6.900000e-03 1.660778e+04
6.912500e-03 1.661039e+04
6.925000e-03 1.661293e+04
6.937500e-03 1.661540e+04
6.950000e-03 1.661780e+04
6.962500e-03 1.662014e+04
6.975000e-03 1.662240e+04
6.987500e-03 1.662459e+04
7.000000e-03 1.662671e+04
7.012500e-03 1.662876e+04
7.025000e-03 1.663074e+04
7.037500e-03 1.663265e+04
7.050000e-03 1.663449e+04
7.062500e-03 1.663626e+04
7.075000e-03 1.663796e+04
7.087500e-03 1.663960e+04
7.100000e-03 1.664116e+04
7.112500e-03 1.664265e+04
7.125000e-03 1.664407e+04
7.137500e-03 1.664542e+04
7.150000e-03 1.664670e+04
7.162500e-03 1.664791e+04
7.175000e-03 1.664905e+04
7.187500e-03 1.665013e+04
7.200000e-03 1.665113e+04
7.212500e-03 1.665206e+04
7.225000e-03 1.665292e+04
7.237500e-03 1.665371e+04
7.250000e-03 1.665443e+04
7.262500e-03 1.665508e+04
7.275000e-03 1.665566e+04
7.287500e-03 1.665618e+04
7.300000e-03 1.665662e+04
7.312500e-03 1.665699e+04
7.325000e-03 1.665729e+04
7.337500e-03 1.665752e+04
7.350000e-03 1.665768e+04
