Strain_pct,Stress_fpc28_Unconfined,Stress_fpc28_Confined,Stress_fpc70_Unconfined,Stress_fpc70_Confined
1.577889e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.587940e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.597990e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.608040e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.618090e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.628141e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.638191e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.648241e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.658291e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.668342e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.678392e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.688442e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.698492e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.708543e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.718593e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.728643e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.738693e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.748744e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.758794e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.768844e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.778894e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.788945e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.798995e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.809045e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.819095e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.829146e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.839196e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.849246e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.859296e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.869347e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.879397e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.889447e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.899497e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.909548e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.919598e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.929648e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.939698e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.949749e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.959799e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.969849e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.979899e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
1.989950e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
2.000000e+00,-5.600000e+00,-9.127294e+00,-1.400000e+01,-1.800061e+01
