f'cc28MPa = 46.01 MPa, ecc28MPa = 0.0084
f'cc70MPa = 90.47 MPa, ecc70MPa = 0.0049
Axial_Strain Axial_Load(kN)
4.612500e-03 2.482364e+04
4.625000e-03 2.483024e+04
4.637500e-03 2.483657e+04
4.650000e-03 2.484265e+04
4.662500e-03 2.484845e+04
4.675000e-03 2.485400e+04
4.687500e-03 2.485928e+04
4.700000e-03 2.486429e+04
4.712500e-03 2.486904e+04
4.725000e-03 2.487353e+04
4.737500e-03 2.487775e+04
4.750000e-03 2.488171e+04
4.762500e-03 2.488540e+04
4.775000e-03 2.488883e+04
4.787500e-03 2.489200e+04
4.800000e-03 2.489490e+04
4.812500e-03 2.489754e+04
4.825000e-03 2.489991e+04
4.837500e-03 2.490202e+04
4.850000e-03 2.490387e+04
4.862500e-03 2.490545e+04
4.875000e-03 2.490677e+04
4.887500e-03 2.490783e+04
4.900000e-03 2.490862e+04
4.912500e-03 2.490915e+04
4.925000e-03 2.490843e+04
4.937500e-03 2.488835e+04
4.950000e-03 2.486827e+04
4.962500e-03 2.484819e+04
4.975000e-03 2.482811e+04
4.987500e-03 2.480803e+04
5.000000e-03 2.478795e+04
5.012500e-03 2.476786e+04
5.025000e-03 2.474778e+04
5.037500e-03 2.472769e+04
5.050000e-03 2.470761e+04
5.062500e-03 2.468752e+04
5.075000e-03 2.466743e+04
5.087500e-03 2.464734e+04
5.100000e-03 2.462726e+04
5.112500e-03 2.460717e+04
5.125000e-03 2.458708e+04
5.137500e-03 2.456699e+04
5.150000e-03 2.454690e+04
5.162500e-03 2.452680e+04
5.175000e-03 2.450671e+04
5.187500e-03 2.448662e+04
5.200000e-03 2.446653e+04
5.212500e-03 2.444643e+04
5.225000e-03 2.442634e+04
5.237500e-03 2.440625e+04
5.250000e-03 2.438615e+04
5.262500e-03 2.436606e+04
5.275000e-03 2.434596e+04
5.287500e-03 2.432587e+04
5.300000e-03 2.430577e+04
5.312500e-03 2.428567e+04
5.325000e-03 2.426558e+04
5.337500e-03 2.424548e+04
5.350000e-03 2.422538e+04
5.362500e-03 2.420528e+04
5.375000e-03 2.418518e+04
5.387500e-03 2.416509e+04
5.400000e-03 2.414499e+04
5.412500e-03 2.412489e+04
5.425000e-03 2.410479e+04
5.437500e-03 2.408469e+04
5.450000e-03 2.406459e+04
5.462500e-03 2.404449e+04
5.475000e-03 2.402439e+04
5.487500e-03 2.400429e+04
5.500000e-03 2.398419e+04
5.512500e-03 2.396408e+04
5.525000e-03 2.394398e+04
5.537500e-03 2.392388e+04
5.550000e-03 2.390378e+04
5.562500e-03 2.388368e+04
5.575000e-03 2.386357e+04
5.587500e-03 2.384347e+04
5.600000e-03 2.382337e+04
5.612500e-03 2.380327e+04
5.625000e-03 2.378316e+04
5.637500e-03 2.376306e+04
5.650000e-03 2.374296e+04
5.662500e-03 2.372285e+04
5.675000e-03 2.370275e+04
5.687500e-03 2.368264e+04
5.700000e-03 2.366254e+04
5.712500e-03 2.364244e+04
5.725000e-03 2.362233e+04
5.737500e-03 2.360223e+04
5.750000e-03 2.358212e+04
5.762500e-03 2.356202e+04
5.775000e-03 2.354191e+04
5.787500e-03 2.352181e+04
5.800000e-03 2.350170e+04
5.812500e-03 2.348160e+04
5.825000e-03 2.346149e+04
5.837500e-03 2.344138e+04
5.850000e-03 2.342128e+04
5.862500e-03 2.340117e+04
5.875000e-03 2.338107e+04
5.887500e-03 2.336096e+04
5.900000e-03 2.334085e+04
5.912500e-03 2.332075e+04
5.925000e-03 2.330064e+04
5.937500e-03 2.328053e+04
5.950000e-03 2.326043e+04
5.962500e-03 2.324032e+04
5.975000e-03 2.322021e+04
5.987500e-03 2.320011e+04
6.000000e-03 2.318000e+04
6.012500e-03 2.315989e+04
6.025000e-03 2.313979e+04
6.037500e-03 2.311968e+04
6.050000e-03 2.309957e+04
6.062500e-03 2.307946e+04
6.075000e-03 2.305936e+04
6.087500e-03 2.303925e+04
6.100000e-03 2.301914e+04
6.112500e-03 2.299903e+04
6.125000e-03 2.297893e+04
6.137500e-03 2.295882e+04
6.150000e-03 2.293871e+04
6.162500e-03 2.291860e+04
6.175000e-03 2.289850e+04
6.187500e-03 2.287839e+04
6.200000e-03 2.285828e+04
6.212500e-03 2.283817e+04
6.225000e-03 2.281806e+04
6.237500e-03 2.279796e+04
6.250000e-03 2.277785e+04
6.262500e-03 2.275774e+04
6.275000e-03 2.273763e+04
6.287500e-03 2.271752e+04
6.300000e-03 2.269741e+04
6.312500e-03 2.267731e+04
6.325000e-03 2.265720e+04
6.337500e-03 2.263709e+04
6.350000e-03 2.261698e+04
6.362500e-03 2.259687e+04
6.375000e-03 2.257676e+04
6.387500e-03 2.255665e+04
6.400000e-03 2.253655e+04
6.412500e-03 2.251644e+04
6.425000e-03 2.249633e+04
6.437500e-03 2.247622e+04
6.450000e-03 2.245611e+04
6.462500e-03 2.243600e+04
6.475000e-03 2.241589e+04
6.487500e-03 2.239578e+04
6.500000e-03 2.237567e+04
6.512500e-03 2.235556e+04
6.525000e-03 2.233546e+04
6.537500e-03 2.231535e+04
6.550000e-03 2.229524e+04
6.562500e-03 2.227513e+04
6.575000e-03 2.225502e+04
6.587500e-03 2.223491e+04
6.600000e-03 2.221480e+04
6.612500e-03 2.219469e+04
6.625000e-03 2.217458e+04
6.637500e-03 2.215447e+04
6.650000e-03 2.213436e+04
6.662500e-03 2.211425e+04
6.675000e-03 2.209415e+04
6.687500e-03 2.207404e+04
6.700000e-03 2.205393e+04
6.712500e-03 2.203382e+04
6.725000e-03 2.201371e+04
6.737500e-03 2.199360e+04
6.750000e-03 2.197349e+04
6.762500e-03 2.195338e+04
6.775000e-03 2.193327e+04
6.787500e-03 2.191316e+04
6.800000e-03 2.189305e+04
6.812500e-03 2.187294e+04
6.825000e-03 2.185283e+04
6.837500e-03 2.183272e+04
6.850000e-03 2.181261e+04
6.862500e-03 2.179250e+04
6.875000e-03 2.177239e+04
6.887500e-03 2.175228e+04
6.900000e-03 2.173217e+04
6.912500e-03 2.171206e+04
6.925000e-03 2.169195e+04
